,BattV_Avg,Rain_mm_Tot,WS_ms_Avg,WS_ms_Avg,WS_ms_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,RH,RH,RH,SlrW_Avg,ET0
,mean,sum,mean,min,max,mean,min,max,mean,min,max,mean,sum
date,,,,,,,,,,,,,
2022-07-12,12.799,0.0,0.6027625,0.118,1.489,26.434500000000003,17.24,35.5,52.34525,21.23,82.6,35.16947368421053,11.34
2022-07-13,13.016041666666666,0.0,1.0323416666666667,0.142,3.678,25.066166666666668,13.83,35.27,52.99933333333333,17.33,91.6,,
2022-07-14,13.136166666666666,0.0,0.7897041666666667,0.096,2.44,25.328500000000002,14.15,36.15,56.52975,22.46,90.6,,
2022-07-15,13.204583333333334,0.0,1.02835,0.227,2.964,24.265333333333334,14.24,33.05,54.15454166666667,23.82,93.1,,
2022-07-16,13.219333333333333,0.0,1.5986333333333331,0.532,3.791,26.051125000000003,18.51,33.69,40.885083333333334,25.04,61.79,,
2022-07-17,13.22225,0.0,1.8585625000000001,0.653,4.048,27.065166666666666,18.79,35.91,40.732958333333336,19.49,56.85,,
2022-07-18,13.181125,0.0,3.0750666666666664,0.708,7.382,29.766569037656904,19.84,39.85,42.984,17.27,92.8,,
2022-07-19,13.221708333333334,0.1,1.8863750000000001,0.271,3.866,23.328416666666666,19.11,27.51,68.98229166666667,42.76,92.9,,
2022-07-20,13.274916666666666,0.0,1.8146958333333332,0.14,4.738,21.148541666666667,15.02,24.83,77.73049999999999,53.92,96.5,,
2022-07-21,13.257541666666667,0.0,0.9209166666666667,0.128,2.776,21.109291666666664,13.42,29.41,72.55695833333333,41.18,97.8,,
2022-07-22,13.291833333333333,0.0,1.9553875,0.153,4.696,19.479,14.92,23.96,82.08520833333334,62.48,97.3,,
2022-07-23,13.264875,0.0,0.8347874999999999,0.125,2.793,20.388708333333334,12.37,28.59,73.51891666666667,46.82,98.4,,
2022-07-24,13.208499999999999,0.0,1.3675375,0.116,3.66,24.24095833333333,12.93,35.62,58.52608333333333,25.11,95.8,,
2022-07-25,13.30575,1.3,1.7849125000000001,0.056,5.043,20.435958333333335,14.44,23.94,80.46333333333334,65.72,97.3,,
2022-07-26,13.270583333333333,0.0,1.0135958333333333,0.067,3.657,18.70975,12.18,24.93,73.55658333333334,40.58,98.7,,
2022-07-27,13.275583333333334,0.0,1.3644541666666667,0.083,3.983,18.201958333333334,10.43,25.19,74.868375,45.19,98.5,,
2022-07-28,13.29925,0.0,1.7580958333333332,0.089,3.984,19.353666666666665,13.12,24.3,76.447125,50.68,98.0,,
2022-07-29,13.283458333333334,0.0,1.3003624999999999,0.098,3.67,20.35395833333333,15.37,24.93,79.12833333333333,54.78,96.8,,
2022-07-30,13.264708333333333,0.0,1.37005,0.083,4.348,20.249958333333332,13.78,26.36,78.701875,51.8,98.7,,
2022-07-31,13.256,0.0,1.2399625,0.088,3.503,20.23875,13.25,27.12,80.06170833333334,53.03,99.9,,
2022-08-01,13.256541666666667,0.0,1.0875791666666668,0.149,2.933,20.603208333333335,13.21,29.77,79.74120833333333,43.92,100.0,,
2022-08-02,13.200166666666666,0.0,0.8947125,0.126,3.212,24.405625,13.91,35.52,64.34808333333334,23.54,99.8,,
2022-08-03,13.186791666666666,0.0,0.9115375,0.118,3.609,26.49204166666667,15.78,36.89,58.436416666666666,25.71,94.7,,
2022-08-04,13.21625,0.0,1.6270416666666667,0.146,4.637,23.471666666666668,16.94,31.79,70.62741666666668,37.22,94.8,,
2022-08-05,13.236541666666666,0.0,1.1661416666666669,0.205,2.8,23.50841666666667,16.83,30.42,62.11470833333333,38.2,94.6,,
2022-08-06,13.233666666666666,0.0,1.4431833333333333,0.573,3.432,24.878416666666666,19.19,31.41,42.04845833333333,25.29,59.21,,
2022-08-07,13.231916666666667,0.0,1.2892666666666666,0.462,3.433,23.919666666666668,15.62,32.46,39.15608333333333,23.73,57.37,,
2022-08-08,13.222208333333333,0.0,1.355375,0.256,3.863,25.204083333333333,14.29,33.94,38.78770833333333,19.0,73.03,,
2022-08-09,13.225333333333333,0.0,1.2291916666666667,0.226,3.864,25.872958333333333,16.92,34.56,40.98533333333333,21.99,70.79,,
2022-08-10,13.190458333333334,0.0,1.2688666666666668,0.356,3.457,27.412166666666668,14.21,37.36,38.04525,14.22,79.28,,
2022-08-11,13.18775,0.0,0.9901541666666667,0.08,3.006,27.237000000000002,16.31,38.02,42.3275,19.05,75.33,,
2022-08-12,13.193333333333333,0.0,1.5220458333333333,0.17,4.016,25.513208333333335,17.33,34.62,58.65604166666667,31.34,96.0,,
2022-08-13,13.236500000000001,2.6,2.2339458333333337,0.488,4.433,23.41466666666667,19.66,28.51,80.22404166666666,58.42,95.9,,
2022-08-14,13.248833333333332,3.9000000000000004,2.160616666666667,0.224,4.915,21.056500000000003,18.48,24.72,81.71341666666667,56.42,99.1,,
2022-08-15,13.269458333333334,0.0,2.036591666666667,0.197,5.368,20.583125,15.75,25.53,78.78029166666667,51.67,98.4,,
2022-08-16,13.24525,0.0,1.3225333333333333,0.124,4.246,20.055,15.23,25.95,81.27016666666667,53.49,98.8,,
2022-08-17,13.278500000000001,0.8,2.0250125,0.11,4.548,19.439083333333333,14.04,25.1,78.629125,47.94,96.3,,
2022-08-18,13.276916666666667,0.0,1.2960500000000001,0.063,3.083,19.041708333333336,11.83,24.89,79.01316666666666,55.59,99.0,,
2022-08-19,13.287374999999999,0.9,1.5709583333333332,0.093,4.175,19.905124999999998,14.21,25.2,84.324,64.55,97.1,,
2022-08-20,13.234333333333332,0.0,0.7113333333333334,0.111,3.134,20.898125,15.95,26.88,81.17966666666666,56.23,98.2,,
2022-08-21,13.253874999999999,0.0,1.0981041666666667,0.061,4.054,19.612666666666666,13.69,25.9,80.38658333333333,51.06,98.9,,
2022-08-22,13.261,1.4000000000000001,1.6491708333333333,0.185,4.323,21.02425,18.61,24.65,87.45908333333334,64.31,98.5,,
2022-08-23,13.226958333333332,0.2,0.7936791666666667,0.085,2.128,22.239583333333332,18.16,28.55,83.766375,53.69,99.6,,
2022-08-24,13.194416666666665,0.0,1.0325916666666666,0.1,3.488,24.99825,15.29,34.08,66.26825,27.12,99.1,,
2022-08-25,13.236958333333332,6.7,1.5206875,0.128,7.851,22.896791666666665,18.49,28.62,81.73837499999999,52.66,97.8,,
2022-08-26,13.258375,0.0,0.8052458333333334,0.088,2.439,21.299291666666665,16.34,28.03,81.80341666666666,56.96,99.5,,
2022-08-27,13.227375,0.0,0.9587291666666666,0.112,2.816,22.188333333333333,13.97,30.03,65.40116666666667,31.5,97.5,,
2022-08-28,13.221666666666666,0.0,1.4337041666666666,0.122,4.177,23.14195833333333,13.0,32.0,56.614749999999994,28.11,94.7,,
2022-08-29,13.216916666666666,0.0,1.331075,0.116,4.052,23.854125,15.71,30.8,62.80533333333334,39.83,87.6,,
2022-08-30,13.211666666666668,0.0,1.2358916666666666,0.108,4.645,22.256050420168066,15.38,30.26,77.88920833333333,41.58,97.4,,
2022-08-31,13.217291666666666,0.0,1.0876416666666666,0.112,3.398,21.978125,17.07,30.31,82.59475,46.9,99.4,,
2022-09-01,13.219791666666667,0.0,1.0899833333333333,0.096,3.503,22.006125,16.83,28.76,75.04858333333333,43.14,98.5,,
2022-09-02,13.187122641509434,6.1,1.6217499999999998,0.114,4.772,19.843140096618356,16.57,24.67,85.78923444976077,62.36,98.3,33.85069565217391,8.9
2022-09-03,13.260375,0.0,1.30545,0.153,3.785,19.366875,14.32,24.57,76.70541666666666,47.16,98.3,35.6103375,9.52
2022-09-04,13.229458333333334,0.0,1.4567375,0.123,4.28,21.105916666666666,13.03,29.91,68.45908333333334,26.08,94.7,44.4146,12.91
2022-09-05,13.201333333333334,0.0,1.8666958333333334,0.155,5.605,22.276125,14.95,30.16,66.5395,29.54,94.5,46.008470833333334,13.46
2022-09-06,13.241416666666668,0.0,1.7023041666666667,0.097,6.001,19.571291666666664,12.49,28.63,75.911875,42.14,99.1,44.839150000000004,12.24
2022-09-07,13.250458333333334,1.1,1.5239041666666668,0.133,4.944,17.981375,14.07,22.05,83.62079166666668,58.06,98.0,20.139683333333334,5.39
2022-09-08,13.277125000000002,0.7,3.0109083333333335,0.453,7.07,18.909208333333332,13.51,23.91,79.15070833333333,57.15,98.3,27.362916666666667,7.04
2022-09-09,13.264208333333332,0.0,2.2565666666666666,0.131,6.698,17.606125000000002,12.05,23.84,75.89483333333332,47.06,96.5,35.909591666666664,9.14
2022-09-10,13.250458333333334,0.0,0.95865,0.146,2.274,19.00904166666667,10.84,26.61,76.48508333333332,47.77,97.7,32.13327916666667,8.72
2022-09-11,13.232125,0.0,2.1796833333333336,0.194,4.455,22.834958333333336,13.66,31.18,59.344375,33.59,95.8,43.71479166666666,12.88
2022-09-12,13.194666666666667,1.3,1.7851583333333332,0.169,8.16,25.71875,16.92,35.75,55.961375,23.57,94.3,30.729408333333332,10.92
2022-09-13,13.193916666666667,0.0,3.070804166666667,0.344,7.452,25.100624999999997,17.88,32.72,67.96933333333332,34.09,95.9,29.30839166666667,10.2
2022-09-14,13.221749999999998,0.0,2.4669875,0.128,7.817,21.606291666666667,15.71,28.14,74.18975,43.58,98.2,39.08985416666667,10.94
2022-09-15,13.246041666666667,0.0,1.1375166666666667,0.054,5.147,19.174625,13.22,25.53,84.82804166666666,57.51,99.5,27.723795833333334,7.49
2022-09-16,13.253333333333334,0.0,0.8003291666666666,0.089,2.252,16.64525,9.38,24.08,73.71116666666667,37.53,99.2,39.56910416666666,10.21
2022-09-17,13.2775,0.0,1.3689458333333335,0.056,3.949,14.1480125,5.949,21.79,59.19166666666667,27.22,95.2,42.264895833333334,10.2
2022-09-18,13.273916666666667,0.0,1.6126708333333333,0.213,5.718,15.269970833333334,4.174,24.36,51.76479166666666,21.87,94.4,41.40844166666667,10.48
2022-09-19,13.261291666666667,0.0,1.4446291666666666,0.211,4.622,16.722041666666666,8.14,24.5,53.16325,26.22,83.3,41.92148333333333,10.95
2022-09-20,13.265375,0.0,1.2821,0.178,3.533,15.856875,8.75,23.83,54.401875000000004,26.91,82.1,40.7609125,10.63
2022-09-21,13.265333333333333,0.0,1.3631541666666667,0.096,4.302,15.682170833333334,5.297,24.48,56.32008333333333,27.52,94.2,40.290937500000005,10.22
2022-09-22,13.252458333333333,0.0,0.8233250000000001,0.098,3.867,14.784016666666668,4.864,25.24,65.97908333333334,29.21,94.1,39.78673333333334,10.14
2022-09-23,13.256916666666665,0.0,0.7866625,0.091,3.757,13.877154166666665,7.082,21.1,81.990375,49.99,97.9,12.10325,3.29
2022-09-24,13.27675,0.2,1.1192666666666669,0.093,4.33,15.045833333333333,9.19,21.53,82.76245833333334,51.21,99.2,28.423283333333334,7.06
2022-09-25,13.299666666666667,0.0,0.6541916666666666,0.078,1.941,12.267145833333332,5.223,19.57,80.50654166666666,52.91,98.6,23.4898,5.55
2022-09-26,13.234125,4.7,2.6144583333333333,0.108,8.48,13.081591666666666,4.915,20.0,82.79566666666666,49.24,99.3,17.903466666666667,4.63
2022-09-27,13.242166666666666,6.8,2.8301458333333334,0.073,6.388,15.810541666666666,12.68,19.0,82.18716666666666,59.85,95.0,13.794370833333334,3.78
2022-09-28,13.276583333333333,4.1,3.63625,0.697,7.204,16.3965,13.59,19.36,85.608625,71.26,94.5,20.65325,4.73
2022-09-29,13.299958333333333,2.9,0.7327208333333334,0.091,2.327,13.273370833333333,7.969,17.67,85.04187499999999,55.03,98.3,21.964325,5.2
2022-09-30,13.296208333333334,0.6000000000000001,1.3057124999999998,0.122,4.525,12.722362500000001,4.97,18.64,80.50475,46.93,99.1,31.76615,7.11
2022-10-01,13.180583333333335,6.2,4.058558333333333,1.308,6.898,17.670875000000002,13.48,19.05,94.97708333333334,92.5,97.3,7.618579166666667,1.62
2022-10-02,13.259833333333335,0.1,1.91775,0.088,4.822,17.30675,11.17,20.52,88.15591666666666,68.04,98.4,19.227995833333335,4.68
2022-10-03,13.253208333333333,0.0,0.953225,0.151,2.678,15.764166666666666,9.59,24.26,82.87370833333333,52.62,100.0,32.494925,8.34
2022-10-04,13.260208333333333,0.0,0.8289375,0.086,2.948,15.00185,7.493,23.8,82.70083333333334,49.14,99.5,34.57767916666667,8.67
2022-10-05,13.220416666666667,0.1,1.1248125,0.111,4.086,15.973833333333333,10.03,22.28,89.81870833333333,68.77,99.7,26.442958333333333,6.47
2022-10-06,13.254041666666666,0.3,1.2791541666666668,0.178,3.283,16.105083333333333,11.26,20.96,86.00275,65.77,97.4,24.359770833333336,5.98
2022-10-07,13.248041666666667,0.0,0.8116791666666666,0.158,2.457,16.303708333333333,9.18,24.15,83.35908333333333,58.09,99.5,27.710462500000002,7.12
2022-10-08,13.2455,0.0,1.1759791666666668,0.265,2.653,16.596041666666668,10.01,22.32,65.88320833333333,39.06,91.4,28.41959166666667,7.46
2022-10-09,13.246,0.0,1.3695708333333334,0.133,4.166,16.237531380753136,8.95,26.23,77.49694560669457,45.75,95.4,29.830483333333333,8.06
2022-10-10,13.238291666666667,0.1,0.5337,0.056,2.282,15.620041666666667,11.02,19.05,90.73916666666668,79.0,97.9,9.633883333333333,2.43
2022-10-11,13.183291666666666,1.5,0.7318416666666666,0.129,1.923,16.95029166666667,15.23,20.02,93.65929166666666,77.99,98.8,6.617470833333333,1.82
2022-10-12,13.211875,0.0,0.6229125,0.108,1.698,15.369916666666667,10.07,21.22,89.38470833333334,66.41,99.5,23.783025000000002,5.93
2022-10-13,13.184458333333334,5.3,2.9774458333333333,0.124,22.72,15.82775,10.66,19.79,93.08254166666667,72.26,99.3,10.9292125,2.84
2022-10-14,13.1485,0.1,3.6986666666666665,1.345,6.918,18.42233333333333,17.07,20.12,89.91958333333334,82.2,96.4,9.621649999999999,2.49
2022-10-15,13.133125,0.0,1.8917291666666667,0.174,4.781,18.242708333333333,14.92,21.7,85.74608333333335,70.73,96.6,11.856604166666667,3.3
2022-10-16,13.222916666666666,0.0,2.2653375000000002,0.125,8.0,20.026041666666668,12.73,28.09,75.48191666666666,34.04,99.1,25.519116666666665,8.02
2022-10-17,13.127958333333334,6.3,1.2964375,0.102,3.222,18.914625,14.62,24.86,89.71329166666666,69.15,98.0,11.141529166666666,3.28
2022-10-18,13.212333333333333,0.0,2.0047916666666667,0.148,5.112,20.689125,14.54,27.77,81.90804166666666,53.3,98.5,26.2311625,7.54
2022-10-19,13.203291666666667,8.2,2.0067791666666666,0.117,4.15,19.91508333333333,16.11,25.46,82.37083333333334,61.59,95.9,16.608454166666668,4.92
2022-10-20,13.241083333333334,2.3000000000000003,2.2763333333333335,0.6,4.562,19.02283333333333,14.6,24.8,76.59591666666667,52.75,95.3,17.057983333333333,5.21
2022-10-21,13.190750000000001,0.0,2.402254166666667,0.109,6.262,17.764,11.6,21.42,74.79441666666666,56.68,97.0,10.494583333333333,3.34
2022-10-22,13.25825,0.0,1.75125,0.086,4.139,17.095166666666668,10.55,23.03,78.00183333333332,57.77,98.6,17.3116875,4.72
2022-10-23,13.186333333333332,0.0,3.9059041666666667,0.275,9.98,20.044500000000003,15.93,23.68,63.56045833333334,40.13,87.3,17.119833333333336,6.06
2022-10-24,13.20025,0.0,1.5066625,0.148,4.825,15.824125,9.57,21.31,82.74283333333332,55.29,98.1,23.848312500000002,5.96
2022-10-25,13.2055,0.0,1.7238541666666667,0.143,4.01,16.022875,8.8,22.85,79.93491666666667,56.12,98.8,11.5814,3.48
2022-10-26,13.236458333333333,0.0,1.8690166666666668,0.209,5.783,17.394166666666667,11.23,25.32,77.79408333333332,47.28,98.0,24.191745833333336,6.78
2022-10-27,13.069333333333333,0.0,2.324745833333333,0.409,4.906,20.047958333333334,17.25,24.46,73.718125,53.21,86.3,6.000854166666667,2.93
2022-10-28,13.172458333333333,0.0,1.559625,0.218,4.634,19.786958333333335,14.61,25.14,71.88208333333334,48.98,84.0,14.825691666666668,4.8
2022-10-29,13.171625,0.0,2.00025,0.143,4.088,17.738583333333334,11.61,23.04,81.20333333333333,55.64,96.8,10.5951,3.44
2022-10-30,13.215499999999999,0.0,0.8560791666666667,0.169,2.21,15.850375000000001,12.22,20.16,86.00266666666667,69.05,97.4,13.260679166666668,3.45
2022-10-31,13.143833333333333,6.3,2.6830083333333334,0.353,5.758,16.184333333333335,12.58,19.11,88.47591666666668,75.95,97.9,5.114258333333334,1.65
2022-11-01,13.222458333333332,0.0,1.6278125,0.125,5.444,12.942833333333335,8.3,18.4,85.99675,65.54,95.8,15.592241666666666,3.76
2022-11-02,13.236083333333333,0.0,1.2518791666666667,0.168,3.435,12.787083333333333,8.92,18.92,89.05845833333333,63.09,98.6,16.6909125,4.08
2022-11-03,13.136833333333334,6.6,2.7971166666666667,0.43,8.04,13.502416666666667,9.8,17.48,85.18062499999999,66.66,94.1,6.896929166666666,2.19
2022-11-04,13.202083333333333,10.200000000000001,2.5492375,0.104,9.41,12.230866666666666,6.06,16.59,79.23620833333332,61.65,96.4,17.71131666666667,3.95
2022-11-05,13.249291666666666,0.0,1.0188416666666666,0.085,3.705,10.419158333333334,6.543,16.77,87.92204166666667,61.08,97.4,19.318050000000003,4.4
2022-11-06,13.245875000000002,0.0,2.4897666666666667,0.247,7.422,11.559270833333333,6.349,17.44,90.30854166666667,77.32,97.6,11.791558333333334,2.62
2022-11-07,13.260541666666667,0.0,1.7262833333333334,0.34,3.216,14.031708333333334,10.32,19.24,82.93541666666667,55.41,97.5,16.755175,4.32
2022-11-08,13.115874999999999,0.0,1.4872124999999998,0.118,3.538,13.587875,10.88,19.06,86.70266666666666,74.25,96.5,6.967341666666667,1.94
2022-11-09,13.114208333333332,4.0,1.1143333333333334,0.089,4.223,12.566583333333334,8.08,16.47,93.91675000000001,79.1,98.4,6.714954166666667,1.64
2022-11-10,13.227958333333333,0.2,1.6717166666666665,0.151,3.631,9.3604875,4.023,13.95,97.60041666666666,89.5,99.6,16.4879,2.99
2022-11-11,13.2385,0.0,2.0223416666666667,0.13,5.292,11.459241666666665,7.612,18.07,91.44391666666667,73.25,100.0,18.802104166666666,4.08
2022-11-12,13.263833333333334,0.0,1.8369916666666666,0.132,5.215,14.226208333333334,8.57,20.53,89.224125,73.2,98.5,20.215341666666667,4.66
2022-11-13,13.25675,0.0,1.4823291666666667,0.088,2.725,13.536208333333333,8.37,20.61,86.94191666666667,63.77,98.4,19.8205125,4.82
2022-11-14,13.125,4.8,1.7362958333333334,0.258,4.59,12.235666666666667,9.52,15.69,90.90879166666667,72.28,96.0,8.040791666666667,2.05
2022-11-15,12.901416666666668,8.9,2.5513375000000003,1.042,5.219,12.6395,10.38,15.29,91.88291666666667,82.7,96.3,2.405379166666667,0.86
2022-11-16,13.113166666666666,13.7,3.3326291666666665,0.37,8.32,13.969,9.47,16.56,89.22533333333334,75.3,97.3,7.6467875,2.0
2022-11-17,13.141333333333334,9.1,3.952941666666667,1.536,7.466,13.541458333333333,11.67,15.45,85.948875,74.17,94.7,6.470929166666666,1.89
2022-11-18,13.194833333333333,16.6,1.0914791666666666,0.149,4.49,10.0926125,6.828,14.78,91.91745833333333,74.49,98.1,8.567008333333332,1.98
2022-11-19,13.272874999999999,1.5,0.6854791666666666,0.103,1.596,8.039795833333333,3.246,13.82,90.507875,64.75,98.9,16.763579166666666,3.52
2022-11-20,13.144749999999998,4.6,1.4012375000000001,0.149,3.797,8.999616666666666,3.856,14.52,93.23833333333333,73.69,98.2,8.471933333333332,1.91
2022-11-21,13.004333333333333,16.1,3.7981041666666666,1.082,7.238,10.54745,7.057,15.25,86.64462499999999,66.42,97.9,3.0259916666666666,1.49
2022-11-22,13.129708333333333,16.4,3.1499666666666664,0.614,6.711,11.05775,9.41,14.83,85.09575,66.03,98.5,4.8297625,1.66
2022-11-23,13.200208333333334,7.800000000000001,3.5230375,0.249,8.64,12.788708333333334,8.31,15.73,86.19241666666667,62.22,98.0,11.5795625,2.91
2022-11-24,13.111333333333333,1.4000000000000001,1.8762625,0.213,4.234,10.720020833333333,7.729,13.1,93.0875,81.8,98.6,4.576708333333333,1.11
2022-11-25,13.208208333333333,2.2,0.8301916666666667,0.1,2.764,9.789254166666666,3.884,14.4,92.35324999999999,73.79,99.1,12.550179166666668,2.67
2022-11-26,13.267208333333334,0.1,1.7054916666666666,0.203,4.568,7.792491666666667,4.085,12.57,94.274125,79.99,99.2,12.585299999999998,2.41
2022-11-27,13.24475,6.7,1.8897374999999998,0.423,3.958,8.454213389121339,4.452,12.71,92.96737499999999,76.09,99.1,9.373508333333332,1.94
2022-11-28,13.181999999999999,7.0,1.6037541666666668,0.16,6.08,9.413041666666667,3.754,14.69,91.62429166666668,72.36,99.3,8.301775,1.9
2022-11-29,13.204458333333333,1.6,0.5277333333333334,0.098,1.573,7.289466666666667,1.956,14.12,93.84054166666667,68.12,99.7,11.561395833333334,2.46
2022-11-30,13.204583333333334,0.1,1.4540333333333335,0.243,2.803,4.697933333333333,1.627,9.52,95.64274999999999,79.96,100.0,10.719329166666666,1.91
2022-12-01,13.266666666666667,0.1,1.4159458333333332,0.354,2.52,6.439754166666666,3.853,9.81,88.63183333333333,75.34,97.5,14.824008333333333,2.73
2022-12-02,12.907708333333334,0.0,1.1452958333333332,0.436,2.889,5.512208333333334,3.517,6.94,87.97170833333332,75.99,97.6,2.901475,0.68
2022-12-03,13.098791666666667,1.7,1.1339583333333332,0.127,2.818,3.7483500000000003,-0.295,6.944,92.98612499999999,73.44,99.0,8.403991666666666,1.5
2022-12-04,13.193833333333334,0.0,0.9247916666666666,0.062,2.525,2.8676208333333335,-0.679,8.1,96.54041666666667,83.7,100.0,9.005891666666665,1.55
2022-12-05,13.319041666666667,0.2,1.8615583333333334,0.13,4.708,4.6483625,0.162,10.15,88.64679166666666,66.06,99.9,16.102820833333332,2.84
